Department Name,Date,Number of Sales
Electronics,2023-05-20,3807
Garden & Outdoor,2023-02-17,2460
Jewelry,2023-09-27,4640
Art & Crafts,2023-07-11,4018
Movies & TV,2023-08-29,4220
Musical Instruments,2023-01-18,3118
Music,2023-02-10,2180
Appliances,2023-10-06,4381
Movies & TV,2023-03-27,1138
Electronics,2023-07-22,2737
Toys,2023-09-19,1756
Clothing,2023-07-04,3359
Music,2023-04-22,2120
Automotive,2023-05-14,422
Pharmacy,2023-12-30,1794
Video Games,2023-01-07,905
Baby & Kids,2023-04-29,1698
Industrial & Scientific,2023-09-27,4173
Health & Beauty,2023-12-13,3508
Electronics,2023-08-03,2553
Baby & Kids,2023-03-21,1947
Electronics,2023-01-06,1757
Musical Instruments,2023-07-25,1915
Furniture,2023-03-09,624
Shoes,2023-04-28,4333
Office Supplies,2023-06-23,689
Cell Phones,2023-07-26,1451
Food & Beverage,2023-10-14,3945
Baby & Kids,2023-07-08,4123
Sports,2023-07-07,667
Food & Beverage,2023-04-01,1577
Health & Beauty,2023-09-18,4663
Beauty & Personal Care,2023-07-03,3887
Art & Crafts,2023-09-24,4614
Appliances,2023-12-27,719
Music,2023-06-14,2810
Software,2023-01-29,4560
Video Games,2023-05-01,505
Art & Crafts,2023-12-30,2152
Watches,2023-10-06,1838
Shoes,2023-01-31,2966
Watches,2023-04-12,3207
Computer & Tablets,2023-02-23,4389
Furniture,2023-06-25,844
Movies & TV,2023-11-25,2431
Books,2023-04-18,2391
Food & Beverage,2023-03-31,885
Jewelry,2023-06-18,4850
Pharmacy,2023-06-23,2263
Movies & TV,2023-07-31,3395
Shoes,2023-02-19,2456
Industrial & Scientific,2023-09-18,4636
Furniture,2023-11-09,4024
Food & Beverage,2023-01-20,2172
Baby & Kids,2023-02-14,4994
Pharmacy,2023-07-10,3469
Garden & Outdoor,2023-09-20,1405
Sports,2023-05-08,4969
Video Games,2023-02-22,537
Movies & TV,2023-10-18,3197
Appliances,2023-07-31,138
Shoes,2023-05-30,3949
Musical Instruments,2023-10-30,1733
Music,2023-11-22,2377
Video Games,2023-12-19,2635
Health & Beauty,2023-02-07,1124
Pet Supplies,2023-08-20,80
Travel,2023-05-28,3395
Beauty & Personal Care,2023-06-27,1461
Automotive,2023-04-01,2699
Electronics,2023-03-27,71
Beauty & Personal Care,2023-08-31,3677
Watches,2023-02-13,4391
Watches,2023-07-28,3861
Travel,2023-06-14,4256
Video Games,2023-10-07,1377
Sports,2023-10-09,4453
Software,2023-05-29,3875
Office Supplies,2023-06-02,3852
Garden & Outdoor,2023-02-25,2312
Shoes,2023-06-16,1817
Industrial & Scientific,2023-11-06,4847
Food & Beverage,2023-09-22,2121
Office Supplies,2023-12-27,1918
Office Supplies,2023-04-07,1453
Pet Supplies,2023-03-15,1279
Sports,2023-11-30,1235
Office Supplies,2023-11-21,1192
Jewelry,2023-05-22,566
Tools & Hardware,2023-12-06,956
Toys,2023-10-30,251
Furniture,2023-01-14,4740
Beauty & Personal Care,2023-07-02,4031
Garden & Outdoor,2023-03-14,4517
Watches,2023-04-27,3274
Watches,2023-01-30,2155
Watches,2023-10-17,4297
Cell Phones,2023-06-08,4112
Appliances,2023-09-07,820
Movies & TV,2023-12-03,1330
Pet Supplies,2023-06-07,2343
Pharmacy,2023-12-27,229
Shoes,2023-06-18,4786
Computer & Tablets,2023-03-04,3210
Movies & TV,2023-10-02,3301
Home & Garden,2023-04-13,4142
Travel,2023-07-25,888
Furniture,2023-12-27,4775
Shoes,2023-05-07,4426
Appliances,2023-04-08,2000
Office Supplies,2023-11-17,3332
Computer & Tablets,2023-02-14,1651
Tools & Hardware,2023-09-20,2328
Garden & Outdoor,2023-01-14,2198
Movies & TV,2023-12-13,3368
Office Supplies,2023-11-11,1064
Automotive,2023-10-10,1442
Health & Beauty,2023-04-10,4217
Clothing,2023-07-30,4977
Luggage,2023-01-13,3821
Health & Beauty,2023-06-20,4173
Baby & Kids,2023-05-27,2225
Jewelry,2023-10-30,4946
Art & Crafts,2023-03-18,4199
Music,2023-02-09,301
Shoes,2023-02-08,2365
Beauty & Personal Care,2023-12-24,3491
Travel,2023-06-05,3929
Watches,2023-03-05,2839
Toys,2023-12-20,1734
Garden & Outdoor,2023-12-24,722
Movies & TV,2023-10-14,3762
Pharmacy,2023-09-08,577
Computer & Tablets,2023-12-01,1883
Shoes,2023-04-17,425
Clothing,2023-08-03,3534
Pet Supplies,2023-08-31,2595
Computer & Tablets,2023-10-28,2481
Beauty & Personal Care,2023-08-08,4699
Health & Beauty,2023-11-08,2155
Cell Phones,2023-12-10,569
Musical Instruments,2023-04-10,4674
Music,2023-01-18,2417
Travel,2023-06-18,3105
Tools & Hardware,2023-03-27,1398
Shoes,2023-07-30,1856
Books,2023-06-05,3702
Health & Beauty,2023-11-15,2990
Video Games,2023-02-02,3081
Home & Garden,2023-12-15,3480
Computer & Tablets,2023-02-07,1490
Furniture,2023-06-25,2144
Art & Crafts,2023-10-09,288
Pet Supplies,2023-10-20,2316
Travel,2023-04-20,2286
Computer & Tablets,2023-01-19,3971
Home & Garden,2023-07-18,3903
Electronics,2023-08-19,4055
Automotive,2023-10-02,950
Health & Beauty,2023-12-26,3520
Home & Garden,2023-12-22,1464
Travel,2023-05-26,1696
Cell Phones,2023-08-03,4712
Home & Garden,2023-03-13,3774
Beauty & Personal Care,2023-08-07,2326
Toys,2023-07-31,654
Home & Garden,2023-11-10,848
Music,2023-04-26,2942
Travel,2023-04-10,1233
Office Supplies,2023-01-12,281
Garden & Outdoor,2023-10-07,4719
Software,2023-08-14,3248
Travel,2023-04-16,1338
Travel,2023-03-27,2034
Toys,2023-04-29,4245
Health & Beauty,2023-04-08,795
Software,2023-07-02,3772
Pet Supplies,2023-01-10,813
Beauty & Personal Care,2023-09-01,3373
Pharmacy,2023-08-12,1829
Art & Crafts,2023-06-10,3153
Video Games,2023-08-16,484
Jewelry,2023-10-28,2037
Food & Beverage,2023-08-02,2383
Watches,2023-10-04,3427
Books,2023-06-29,1752
Home & Garden,2023-09-25,3760
Food & Beverage,2023-05-21,4171
Jewelry,2023-04-25,1774
Tools & Hardware,2023-11-12,1979
Cell Phones,2023-05-31,1579
Pharmacy,2023-08-12,4861
Software,2023-02-22,4002
Automotive,2023-11-20,2076
Books,2023-08-19,3754
Cell Phones,2023-10-01,1515
Cell Phones,2023-05-22,3689
Art & Crafts,2023-09-16,4324
Computer & Tablets,2023-09-19,2077
Books,2023-07-13,2790
Jewelry,2023-10-06,3799
Home & Garden,2023-11-06,2989
Art & Crafts,2023-10-22,3226
Home & Garden,2023-10-21,1470
Jewelry,2023-01-17,722
Electronics,2023-09-30,4231
Automotive,2023-08-09,3825
Tools & Hardware,2023-11-02,1771
Automotive,2023-03-24,1057
Jewelry,2023-11-12,4162
Software,2023-09-05,1568
Shoes,2023-08-02,1209
Tools & Hardware,2023-02-24,1466
Garden & Outdoor,2023-11-25,646
Watches,2023-08-03,3575
Electronics,2023-01-20,111
Luggage,2023-07-19,4142
Art & Crafts,2023-03-04,557
Pet Supplies,2023-06-29,180
Office Supplies,2023-07-14,1680
Food & Beverage,2023-05-22,4229
Electronics,2023-10-27,453
Office Supplies,2023-11-01,1373
Furniture,2023-06-20,1923
Art & Crafts,2023-04-26,1152
Industrial & Scientific,2023-11-16,727
Books,2023-05-11,4413
Beauty & Personal Care,2023-02-24,4000
Travel,2023-04-19,333
Video Games,2023-09-13,2277
Pharmacy,2023-11-06,500
Computer & Tablets,2023-12-23,2479
Food & Beverage,2023-11-13,2157
Travel,2023-08-14,3715
Shoes,2023-09-09,399
Luggage,2023-08-17,3225
Automotive,2023-08-10,4588
Art & Crafts,2023-10-27,2492
Office Supplies,2023-05-29,4406
Toys,2023-07-08,814
Video Games,2023-12-31,4119
Office Supplies,2023-10-25,3649
Clothing,2023-09-10,885
Garden & Outdoor,2023-09-25,1151
Home & Garden,2023-05-07,1237
Office Supplies,2023-05-23,3241
Jewelry,2023-02-12,885
Jewelry,2023-02-24,1451
Beauty & Personal Care,2023-07-04,4935
Appliances,2023-09-18,1552
Sports,2023-04-30,4625
Art & Crafts,2023-04-09,4661
Software,2023-10-04,1627
Pharmacy,2023-11-20,2355
Electronics,2023-12-27,3283
Automotive,2023-02-11,1544
Industrial & Scientific,2023-08-23,2869
Watches,2023-12-19,1012
Health & Beauty,2023-06-08,83
Appliances,2023-05-28,4007
Cell Phones,2023-02-22,107
Pharmacy,2023-09-17,986
Food & Beverage,2023-12-02,397
Luggage,2023-09-30,1017
Office Supplies,2023-07-02,2143
Sports,2023-11-20,246
Tools & Hardware,2023-01-25,1556
Tools & Hardware,2023-09-22,3441
Shoes,2023-06-05,4990
Shoes,2023-07-08,2666
Music,2023-08-23,1264
Pet Supplies,2023-06-06,530
Baby & Kids,2023-07-30,3459
Jewelry,2023-07-16,1481
Tools & Hardware,2023-02-10,3643
Cell Phones,2023-02-20,82
Shoes,2023-08-20,1517
Pet Supplies,2023-05-07,1722
Industrial & Scientific,2023-12-09,2447
Industrial & Scientific,2023-03-02,4492
Health & Beauty,2023-03-23,1999
Movies & TV,2023-02-26,2160
Appliances,2023-02-28,4561
Baby & Kids,2023-05-17,2738
Books,2023-02-02,300
Computer & Tablets,2023-05-08,562
Video Games,2023-07-15,4750
Pharmacy,2023-10-24,4547
Clothing,2023-07-03,1621
Cell Phones,2023-04-17,875
Music,2023-07-29,4494
Software,2023-10-14,3134
Garden & Outdoor,2023-06-25,1779
Pet Supplies,2023-12-09,1610
Tools & Hardware,2023-12-15,166
Jewelry,2023-08-07,1741
Furniture,2023-09-07,538
Pharmacy,2023-10-29,826
Furniture,2023-08-25,1601
Software,2023-05-02,3311
Beauty & Personal Care,2023-12-17,550
Watches,2023-08-22,873
Appliances,2023-11-26,2687
Toys,2023-08-13,3703
Jewelry,2023-01-15,1501
Garden & Outdoor,2023-03-16,4355
Home & Garden,2023-12-10,727
Computer & Tablets,2023-02-03,3181
Computer & Tablets,2023-06-17,3981
Watches,2023-12-29,872
Garden & Outdoor,2023-09-09,4576
Toys,2023-11-10,725
Books,2023-10-02,2000
Pharmacy,2023-07-06,4752
Computer & Tablets,2023-09-08,1194
Office Supplies,2023-10-31,1138
Industrial & Scientific,2023-05-20,314
Electronics,2023-08-06,2373
Baby & Kids,2023-01-26,1248
Cell Phones,2023-11-05,2742
Health & Beauty,2023-03-15,1871
